addr:housenumber,addr:street,building
41 C,Fable Street,terrace
41 D,Fable Street,terrace
41 E,Fable Street,terrace
46 A,Whelan Drive,terrace
46 C,Whelan Drive,terrace
46 D,Whelan Drive,terrace
46 E,Whelan Drive,terrace
46 F,Whelan Drive,terrace
46 G,Whelan Drive,terrace
125,Sherway Drive,terrace
123,Sherway Drive,terrace
121,Sherway Drive,terrace
8,Tedwyn Drive,terrace
4,Tedwyn Drive,terrace
2,Tedwyn Drive,terrace
10,Tedwyn Drive,terrace
14,Tedwyn Drive,terrace
16,Tedwyn Drive,terrace
18,Tedwyn Drive,terrace
22,Tedwyn Drive,terrace
24,Tedwyn Drive,terrace
26,Tedwyn Drive,terrace
28,Tedwyn Drive,terrace
32,Tedwyn Drive,house
36,Tedwyn Drive,house
38,Tedwyn Drive,house
44,Tedwyn Drive,terrace
42,Tedwyn Drive,terrace
48,Tedwyn Drive,terrace
52,Tedwyn Drive,terrace
60,Tedwyn Drive,terrace
56,Tedwyn Drive,terrace
54,Tedwyn Drive,terrace
64,Tedwyn Drive,terrace
68,Tedwyn Drive,terrace
62,Tedwyn Drive,terrace
70,Tedwyn Drive,terrace
74,Tedwyn Drive,terrace
76,Tedwyn Drive,terrace
78,Tedwyn Drive,terrace
82,Tedwyn Drive,terrace
84,Tedwyn Drive,terrace
88,Tedwyn Drive,terrace
86,Tedwyn Drive,terrace
39,Tedwyn Drive,house
35,Tedwyn Drive,house
31,Tedwyn Drive,house
27,Tedwyn Drive,house
21,Tedwyn Drive,house
19,Tedwyn Drive,house
15,Tedwyn Drive,house
8,Providence Place,house
12,Providence Place,house
16,Providence Place,house
20,Providence Place,house
24,Providence Place,house
28,Providence Place,house
32,Providence Place,house
55,Tedwyn Drive,house
45,Tedwyn Drive,terrace
49,Tedwyn Drive,terrace
51,Tedwyn Drive,terrace
29,Providence Place,terrace
33,Providence Place,terrace
35,Providence Place,terrace
37,Providence Place,terrace
39,Providence Place,terrace
27,Providence Place,terrace
23,Providence Place,terrace
19,Providence Place,terrace
15,Providence Place,terrace
13,Providence Place,terrace
11,Providence Place,terrace
7,Providence Place,terrace
5,Providence Place,terrace
3,Providence Place,terrace
1,Providence Place,terrace
156,Sherway Drive,house
59,Dolan Drive,house
63,Dolan Drive,house
67,Dolan Drive,house
54,Dolan Drive,house
52,Dolan Drive,house
48,Dolan Drive,house
6,Conway Street,house
4,Conway Street,house
158,Sherway Drive,house
164,Sherway Drive,house
168,Sherway Drive,house
172,Sherway Drive,house
6 F,Larkshire Lane,terrace
6 E,Larkshire Lane,terrace
6 B,Larkshire Lane,terrace
6 D,Larkshire Lane,terrace
6 A,Larkshire Lane,terrace
4 C,Larkshire Lane,terrace
4 B,Larkshire Lane,terrace
2 A,Larkshire Lane,terrace
2 F,Larkshire Lane,terrace
2 D,Larkshire Lane,terrace
2 C,Larkshire Lane,terrace
2 B,Larkshire Lane,terrace
1 E,Larkshire Lane,terrace
1 D,Larkshire Lane,terrace
1 B,Larkshire Lane,terrace
1 A,Larkshire Lane,terrace
3 E,Larkshire Lane,terrace
3 G,Larkshire Lane,terrace
3 B,Larkshire Lane,terrace
3 C,Larkshire Lane,terrace
3 D,Larkshire Lane,terrace
3 F,Larkshire Lane,terrace
8 A,Larkshire Lane,terrace
8 D,Larkshire Lane,terrace
8 C,Larkshire Lane,terrace
8 B,Larkshire Lane,terrace
10 D,Larkshire Lane,terrace
10 B,Larkshire Lane,terrace
10 C,Larkshire Lane,terrace
10 E,Larkshire Lane,terrace
12 D,Larkshire Lane,terrace
12 B,Larkshire Lane,terrace
12 C,Larkshire Lane,terrace
12 F,Larkshire Lane,terrace
12 E,Larkshire Lane,terrace
14 C,Larkshire Lane,terrace
14 B,Larkshire Lane,terrace
14 D,Larkshire Lane,terrace
14 E,Larkshire Lane,terrace
16 A,Larkshire Lane,terrace
16 C,Larkshire Lane,terrace
16 D,Larkshire Lane,terrace
1 A,Spring Grove Lane,terrace
1 C,Spring Grove Lane,terrace
1 D,Spring Grove Lane,terrace
3 F,Spring Grove Lane,terrace
3 A,Spring Grove Lane,terrace
3 C,Spring Grove Lane,terrace
3 D,Spring Grove Lane,terrace
3 E,Spring Grove Lane,terrace
2 F,Spring Grove Lane,terrace
2 A,Spring Grove Lane,terrace
2 D,Spring Grove Lane,terrace
2 B,Spring Grove Lane,terrace
2 E,Spring Grove Lane,terrace
2 G,Spring Grove Lane,terrace
4 A,Spring Grove Lane,terrace
4 D,Spring Grove Lane,terrace
4 B,Spring Grove Lane,terrace
4 E,Spring Grove Lane,terrace
4 F,Spring Grove Lane,terrace
4 G,Spring Grove Lane,terrace
6 A,Spring Grove Lane,terrace
6 B,Spring Grove Lane,terrace
6 D,Spring Grove Lane,terrace
6 E,Spring Grove Lane,terrace
6 C,Spring Grove Lane,terrace
8 F,Spring Grove Lane,terrace
8 D,Spring Grove Lane,terrace
8 C,Spring Grove Lane,terrace
8 B,Spring Grove Lane,terrace
8 A,Spring Grove Lane,terrace
10 C,Spring Grove Lane,terrace
10 A,Spring Grove Lane,terrace
10 D,Spring Grove Lane,terrace
10 E,Spring Grove Lane,terrace
12 D,Spring Grove Lane,terrace
12 B,Spring Grove Lane,terrace
12 C,Spring Grove Lane,terrace
14 G,Spring Grove Lane,terrace
14 E,Spring Grove Lane,terrace
14 C,Spring Grove Lane,terrace
14 B,Spring Grove Lane,terrace
14 A,Spring Grove Lane,terrace
14 F,Spring Grove Lane,terrace
16 E,Spring Grove Lane,terrace
16 A,Spring Grove Lane,terrace
16 B,Spring Grove Lane,terrace
16 D,Spring Grove Lane,terrace
16 F,Spring Grove Lane,terrace
199,Sherway Drive,terrace
203,Sherway Drive,terrace
205,Sherway Drive,terrace
207,Sherway Drive,terrace
209,Sherway Drive,terrace
27,Fable Street,terrace
23,Fable Street,terrace
21,Fable Street,terrace
21,Berkshire Way,terrace
23,Berkshire Way,terrace
25,Berkshire Way,terrace
27,Berkshire Way,terrace
7,Berkshire Way,terrace
11,Berkshire Way,terrace
13,Berkshire Way,terrace
15,Berkshire Way,terrace
17,Berkshire Way,terrace
163,Sherway Drive,house
169,Sherway Drive,house
171,Sherway Drive,house
177,Sherway Drive,house
179,Sherway Drive,house
185,Sherway Drive,house
187,Sherway Drive,terrace
189,Sherway Drive,terrace
193,Sherway Drive,terrace
195,Sherway Drive,terrace
197,Sherway Drive,terrace
2,Berkshire Way,terrace
4,Berkshire Way,terrace
8,Berkshire Way,terrace
10,Berkshire Way,terrace
12,Berkshire Way,terrace
16,Berkshire Way,terrace
18,Berkshire Way,terrace
20,Berkshire Way,terrace
22,Berkshire Way,terrace
24,Berkshire Way,terrace
32,Berkshire Way,terrace
28,Berkshire Way,terrace
26,Berkshire Way,terrace
34,Berkshire Way,terrace
36,Berkshire Way,terrace
40,Berkshire Way,terrace
42,Berkshire Way,terrace
1 A,Vanessa Terrace,terrace
1 C,Vanessa Terrace,terrace
1 D,Vanessa Terrace,terrace
3 B,Vanessa Terrace,terrace
3 C,Vanessa Terrace,terrace
3 D,Vanessa Terrace,terrace
3 E,Vanessa Terrace,terrace
5 A,Vanessa Terrace,terrace
5 C,Vanessa Terrace,terrace
5 D,Vanessa Terrace,terrace
7 A,Vanessa Terrace,terrace
7 C,Vanessa Terrace,terrace
7 D,Vanessa Terrace,terrace
7 E,Vanessa Terrace,terrace
7 F,Vanessa Terrace,terrace
7 G,Vanessa Terrace,terrace
69,Whelan Drive,terrace
73,Whelan Drive,terrace
75,Whelan Drive,terrace
61,Whelan Drive,terrace
65,Whelan Drive,terrace
67,Whelan Drive,terrace
59,Whelan Drive,terrace
55,Whelan Drive,terrace
53,Whelan Drive,terrace
51,Whelan Drive,terrace
49,Whelan Drive,terrace
35,Whelan Drive,terrace
39,Whelan Drive,terrace
41,Whelan Drive,terrace
43,Whelan Drive,terrace
45,Whelan Drive,terrace
47,Whelan Drive,terrace
33,Whelan Drive,terrace
29,Whelan Drive,terrace
27,Whelan Drive,terrace
25,Whelan Drive,terrace
23,Whelan Drive,terrace
21,Whelan Drive,terrace
19,Whelan Drive,house
13,Whelan Drive,house
9,Whelan Drive,house
7,Whelan Drive,house
6,Vanessa Terrace,house
2,Vanessa Terrace,house
34,Vanessa Terrace,house
30,Vanessa Terrace,house
28,Vanessa Terrace,house
22,Vanessa Terrace,house
20,Vanessa Terrace,house
14,Vanessa Terrace,house
10,Vanessa Terrace,house
8,Whelan Drive,house
12,Whelan Drive,house
38,Vanessa Terrace,house
16,Whelan Drive,house
18,Whelan Drive,house
24,Whelan Drive,house
26,Whelan Drive,house
42,Vanessa Terrace,house
9 D,Maple Ridge Crescent,terrace
9 C,Maple Ridge Crescent,terrace
9 B,Maple Ridge Crescent,terrace
9 A,Maple Ridge Crescent,terrace
2 F,Maple Ridge Crescent,terrace
2 D,Maple Ridge Crescent,terrace
2 C,Maple Ridge Crescent,terrace
2 B,Maple Ridge Crescent,terrace
2 A,Maple Ridge Crescent,terrace
4 F,Maple Ridge Crescent,terrace
4 D,Maple Ridge Crescent,terrace
4 C,Maple Ridge Crescent,terrace
4 B,Maple Ridge Crescent,terrace
4 A,Maple Ridge Crescent,terrace
6 F,Maple Ridge Crescent,terrace
6 D,Maple Ridge Crescent,terrace
6 C,Maple Ridge Crescent,terrace
6 B,Maple Ridge Crescent,terrace
6 A,Maple Ridge Crescent,terrace
8 A,Maple Ridge Crescent,terrace
8 C,Maple Ridge Crescent,terrace
8 D,Maple Ridge Crescent,terrace
8 E,Maple Ridge Crescent,terrace
8 F,Maple Ridge Crescent,terrace
10 A,Maple Ridge Crescent,terrace
10 C,Maple Ridge Crescent,terrace
12 A,Maple Ridge Crescent,terrace
12 C,Maple Ridge Crescent,terrace
12 D,Maple Ridge Crescent,terrace
7 A,Maple Ridge Crescent,terrace
7 C,Maple Ridge Crescent,terrace
7 D,Maple Ridge Crescent,terrace
7 E,Maple Ridge Crescent,terrace
5 C,Maple Ridge Crescent,terrace
5 A,Maple Ridge Crescent,terrace
3 D,Maple Ridge Crescent,terrace
3 B,Maple Ridge Crescent,terrace
3 A,Maple Ridge Crescent,terrace
11 A,Maple Ridge Crescent,terrace
11 C,Maple Ridge Crescent,terrace
11 D,Maple Ridge Crescent,terrace
11 E,Maple Ridge Crescent,terrace
11 F,Maple Ridge Crescent,terrace
1 B,Maple Ridge Crescent,terrace
1 C,Maple Ridge Crescent,terrace
1 D,Maple Ridge Crescent,terrace
1 E,Maple Ridge Crescent,terrace
1 F,Maple Ridge Crescent,terrace
1 G,Maple Ridge Crescent,terrace
15 B,Vanessa Terrace,terrace
15 C,Vanessa Terrace,terrace
15 D,Vanessa Terrace,terrace
15 E,Vanessa Terrace,terrace
15 F,Vanessa Terrace,terrace
40 B,Whelan Drive,terrace
40 C,Whelan Drive,terrace
40 D,Whelan Drive,terrace
40 E,Whelan Drive,terrace
13 A,Maple Ridge Crescent,terrace
13 C,Maple Ridge Crescent,terrace
13 D,Maple Ridge Crescent,terrace
13 E,Maple Ridge Crescent,terrace
22 G,Maple Ridge Crescent,terrace
22 E,Maple Ridge Crescent,terrace
22 D,Maple Ridge Crescent,terrace
22 C,Maple Ridge Crescent,terrace
22 B,Maple Ridge Crescent,terrace
22 A,Maple Ridge Crescent,terrace
59,Glacier Street,house
67,Glacier Street,house
68,Amherst Crescent,house
62,Amherst Crescent,house
72,Antler Avenue,house
68,Antler Avenue,house
62,Antler Avenue,house
43,Glacier Street,house
5,Ventnor Way,house
27,Ventnor Way,house
48,Malvern Drive,house
44,Malvern Drive,house
40,Malvern Drive,house
36,Malvern Drive,house
30,Malvern Drive,house
28,Malvern Drive,house
22,Malvern Drive,house
20,Malvern Drive,house
14,Malvern Drive,house
12,Malvern Drive,house
2,Ventnor Way,house
6,Ventnor Way,house
10,Ventnor Way,house
16,Ventnor Way,house
18,Ventnor Way,house
24,Ventnor Way,house
28,Ventnor Way,house
32,Ventnor Way,house
36,Ventnor Way,house
40,Ventnor Way,house
50,Ventnor Way,house
130,Tripp Crescent,house
132,Tripp Crescent,house
44,Ventnor Way,house
48,Ventnor Way,house
133,Tripp Crescent,house
60,Malvern Drive,house
62,Malvern Drive,house
66,Malvern Drive,house
72,Malvern Drive,house
74,Malvern Drive,house
1,Tedwyn Drive,terrace
5,Tedwyn Drive,terrace
7,Tedwyn Drive,terrace
9,Tedwyn Drive,terrace
11,Tedwyn Drive,terrace
77,Sherway Drive,terrace
73,Sherway Drive,terrace
79,Sherway Drive,terrace
81,Sherway Drive,terrace
83,Sherway Drive,terrace
85,Sherway Drive,house
91,Sherway Drive,house
93,Sherway Drive,terrace
95,Sherway Drive,terrace
99,Sherway Drive,terrace
101,Sherway Drive,house
107,Sherway Drive,house
115,Sherway Drive,terrace
109,Sherway Drive,terrace
113,Sherway Drive,terrace
117,Sherway Drive,terrace
119,Sherway Drive,terrace
29,Laming Street,house
39,Melville Drive,detached
43,Melville Drive,detached
47,Melville Drive,detached
51,Melville Drive,detached
59,Melville Drive,detached
110,Larkin Drive,house
114,Larkin Drive,house
116,Larkin Drive,house
138,Larkin Drive,house
124,Larkin Drive,house
126,Larkin Drive,house
132,Larkin Drive,house
144 B,Larkin Drive,house
299,Thistledown Court,terrace
297,Thistledown Court,terrace
8 F,Larkshire Lane,terrace
115,Thistledown Court,terrace
111,Thistledown Court,terrace
113,Thistledown Court,terrace
173,Thistledown Court,terrace
177,Thistledown Court,terrace
165,Thistledown Court,terrace
167,Thistledown Court,terrace
171,Thistledown Court,terrace
169,Thistledown Court,terrace
161,Thistledown Court,terrace
151,Thistledown Court,terrace
159,Thistledown Court,terrace
155,Thistledown Court,terrace
153,Thistledown Court,terrace
149,Thistledown Court,terrace
129,Thistledown Court,terrace
119,Thistledown Court,terrace
123,Thistledown Court,terrace
125,Thistledown Court,terrace
127,Thistledown Court,terrace
131,Thistledown Court,terrace
137,Thistledown Court,terrace
141,Thistledown Court,terrace
133,Thistledown Court,terrace
135,Thistledown Court,terrace
139,Thistledown Court,terrace
109,Thistledown Court,terrace
107,Thistledown Court,terrace
75,Thistledown Court,terrace
67,Thistledown Court,terrace
71,Thistledown Court,terrace
73,Thistledown Court,terrace
59,Thistledown Court,terrace
63,Thistledown Court,terrace
61,Thistledown Court,terrace
57,Thistledown Court,terrace
55,Thistledown Court,terrace
77,Thistledown Court,terrace
81,Thistledown Court,terrace
79,Thistledown Court,terrace
83,Thistledown Court,terrace
53,Thistledown Court,terrace
91,Thistledown Court,terrace
97,Thistledown Court,terrace
103,Thistledown Court,terrace
99,Thistledown Court,terrace
95,Thistledown Court,terrace
93,Thistledown Court,terrace
87,Thistledown Court,terrace
89,Thistledown Court,terrace
85,Thistledown Court,terrace
51,Thistledown Court,terrace
49,Thistledown Court,terrace
43,Thistledown Court,terrace
39,Thistledown Court,terrace
37,Thistledown Court,terrace
45,Thistledown Court,terrace
35,Thistledown Court,terrace
29,Thistledown Court,terrace
25,Thistledown Court,terrace
31,Thistledown Court,terrace
27,Thistledown Court,terrace
13,Thistledown Court,terrace
19,Thistledown Court,terrace
23,Thistledown Court,terrace
17,Thistledown Court,terrace
15,Thistledown Court,terrace
9,Thistledown Court,terrace
1,Thistledown Court,terrace
3,Thistledown Court,terrace
7,Thistledown Court,terrace
11,Thistledown Court,terrace
8,Thistledown Court,terrace
6,Thistledown Court,terrace
4,Thistledown Court,terrace
2,Thistledown Court,terrace
29,Malvern Drive,terrace
23,Malvern Drive,terrace
27,Malvern Drive,terrace
31,Malvern Drive,terrace
33,Malvern Drive,terrace
35,Malvern Drive,terrace
37,Malvern Drive,terrace
18,Thistledown Court,terrace
12,Thistledown Court,terrace
14,Thistledown Court,terrace
20,Thistledown Court,terrace
24,Thistledown Court,terrace
26,Thistledown Court,terrace
41,Malvern Drive,terrace
22,Thistledown Court,terrace
39,Malvern Drive,terrace
43,Malvern Drive,terrace
45,Malvern Drive,terrace
46,Thistledown Court,terrace
42,Thistledown Court,terrace
40,Thistledown Court,terrace
34,Thistledown Court,terrace
30,Thistledown Court,terrace
36,Thistledown Court,terrace
38,Thistledown Court,terrace
44,Thistledown Court,terrace
48,Thistledown Court,terrace
50,Thistledown Court,terrace
53,Malvern Drive,terrace
49,Malvern Drive,terrace
55,Malvern Drive,terrace
57,Malvern Drive,terrace
47,Malvern Drive,terrace
52,Thistledown Court,terrace
54,Thistledown Court,terrace
56,Thistledown Court,terrace
63,Malvern Drive,terrace
59,Malvern Drive,terrace
65,Malvern Drive,terrace
67,Malvern Drive,terrace
69,Malvern Drive,terrace
71,Malvern Drive,terrace
73,Malvern Drive,terrace
75,Malvern Drive,terrace
58,Thistledown Court,terrace
62,Thistledown Court,terrace
64,Thistledown Court,terrace
66,Thistledown Court,terrace
68,Thistledown Court,terrace
70,Thistledown Court,terrace
87,Malvern Drive,terrace
89,Malvern Drive,terrace
91,Malvern Drive,terrace
93,Malvern Drive,terrace
95,Malvern Drive,terrace
97,Malvern Drive,terrace
181,Thistledown Court,terrace
179,Thistledown Court,terrace
183,Thistledown Court,terrace
189,Thistledown Court,terrace
185,Thistledown Court,terrace
205,Thistledown Court,terrace
201,Thistledown Court,terrace
195,Thistledown Court,terrace
191,Thistledown Court,terrace
197,Thistledown Court,terrace
199,Thistledown Court,terrace
203,Thistledown Court,terrace
207,Thistledown Court,terrace
219,Thistledown Court,terrace
215,Thistledown Court,terrace
225,Thistledown Court,terrace
221,Thistledown Court,terrace
223,Thistledown Court,terrace
227,Thistledown Court,terrace
213,Thistledown Court,terrace
209,Thistledown Court,terrace
229,Thistledown Court,terrace
233,Thistledown Court,terrace
231,Thistledown Court,terrace
235,Thistledown Court,terrace
237,Thistledown Court,terrace
243,Thistledown Court,terrace
239,Thistledown Court,terrace
241,Thistledown Court,terrace
249,Thistledown Court,terrace
247,Thistledown Court,terrace
251,Thistledown Court,terrace
269,Thistledown Court,terrace
267,Thistledown Court,terrace
263,Thistledown Court,terrace
273,Thistledown Court,terrace
271,Thistledown Court,terrace
277,Thistledown Court,terrace
275,Thistledown Court,terrace
279,Thistledown Court,terrace
261,Thistledown Court,terrace
257,Thistledown Court,terrace
259,Thistledown Court,terrace
253,Thistledown Court,terrace
289,Thistledown Court,terrace
287,Thistledown Court,terrace
293,Thistledown Court,terrace
295,Thistledown Court,terrace
303,Thistledown Court,terrace
305,Thistledown Court,terrace
76,Thistledown Court,terrace
78,Thistledown Court,terrace
82,Thistledown Court,terrace
84,Thistledown Court,terrace
79,Malvern Drive,terrace
81,Malvern Drive,terrace
77,Malvern Drive,terrace
74,Thistledown Court,terrace
72,Thistledown Court,terrace
49,Sherway Drive,apartments
53,Sherway Drive,apartments
22,Sweetbriar Circle,apartments
18,Sweetbriar Circle,apartments
16,Sweetbriar Circle,apartments
12,Sweetbriar Circle,apartments
10,Sweetbriar Circle,apartments
6,Sweetbriar Circle,apartments
4,Sweetbriar Circle,apartments
